seed,policy,round,observed,stable_found,precision,pool_stable_prevalence,discovery_acceleration_factor,stable_recall
53,uncertainty,0,400,211,0.5275,0.56996,0.9255035441083584,0.014808056705733735
53,uncertainty,1,650,365,0.5615384615384615,0.56996,0.9852243342312821,0.025615832690013333
53,uncertainty,2,900,510,0.5666666666666667,0.56996,0.9942218167356773,0.035791985402484384
53,uncertainty,3,1150,643,0.5591304347826087,0.56996,0.9809994294031312,0.04512597375254404
53,uncertainty,4,1400,790,0.5642857142857143,0.56996,0.990044414144351,0.05544248719208365
53,uncertainty,5,1650,922,0.5587878787878788,0.56996,0.9803984117971065,0.06470629517860903
53,uncertainty,6,1900,1053,0.5542105263157895,0.56996,0.972367405284212,0.07389992280160011
53,uncertainty,7,2150,1165,0.541860465116279,0.56996,0.9506991106679048,0.08176012351743982
53,uncertainty,8,2400,1285,0.5354166666666667,0.56996,0.9393934077245186,0.09018176714155379
53,greedy,0,400,211,0.5275,0.56996,0.9255035441083584,0.014808056705733735
53,greedy,1,650,386,0.5938461538461538,0.56996,1.0419084740089721,0.02708962032423328
53,greedy,2,900,596,0.6622222222222223,0.56996,1.1618749074009092,0.041827496666432734
53,greedy,3,1150,813,0.7069565217391305,0.56996,1.2403616424646124,0.05705663555337217
53,greedy,4,1400,1043,0.745,0.56996,1.3071092708260228,0.07319811916625728
53,greedy,5,1650,1248,0.7563636363636363,0.56996,1.3270468741028079,0.08758509369078532
53,greedy,6,1900,1465,0.7710526315789473,0.56996,1.3528188497069045,0.10281423257772475
53,greedy,7,2150,1686,0.7841860465116279,0.56996,1.3758615455674572,0.11832409291880132
53,greedy,8,2400,1903,0.7929166666666667,0.56996,1.3911794979764662,0.13355323180574075
53,ucb,0,400,211,0.5275,0.56996,0.9255035441083584,0.014808056705733735
53,ucb,1,650,399,0.6138461538461538,0.56996,1.0769986557761138,0.02800196505017896
53,ucb,2,900,613,0.6811111111111111,0.56996,1.1950156346254317,0.04302056284651554
53,ucb,3,1150,831,0.7226086956521739,0.56996,1.2678235238475926,0.05831988209698926
53,ucb,4,1400,1049,0.7492857142857143,0.56996,1.3146285954904104,0.07361920134746298
53,ucb,5,1650,1275,0.7727272727272727,0.56996,1.3557570228213782,0.08947996350621096
53,ucb,6,1900,1504,0.791578947368421,0.56996,1.3888324573100235,0.1055512667555618
53,ucb,7,2150,1711,0.7958139534883721,0.56996,1.3962628140367255,0.12007860200715839
53,ucb,8,2400,1934,0.8058333333333333,0.56996,1.4138419070344117,0.13572882307530354
53,diverse_ucb,0,400,211,0.5275,0.56996,0.9255035441083584,0.014808056705733735
53,diverse_ucb,1,650,390,0.6,0.56996,1.0527054530142466,0.027370341778370413
53,diverse_ucb,2,900,593,0.6588888888888889,0.56996,1.1560265437730521,0.04161695557582988
53,diverse_ucb,3,1150,824,0.7165217391304348,0.56996,1.2571439033097669,0.05782861955224928
53,diverse_ucb,4,1400,1044,0.7457142857142857,0.56996,1.3083624916034207,0.07326829952979157
53,diverse_ucb,5,1650,1261,0.7642424242424243,0.56996,1.3408702790413787,0.088497438416731
53,diverse_ucb,6,1900,1486,0.7821052631578947,0.56996,1.3722107922624303,0.1042880202119447
53,diverse_ucb,7,2150,1710,0.7953488372093023,0.56996,1.3954467632979546,0.12000842164362412
53,diverse_ucb,8,2400,1934,0.8058333333333333,0.56996,1.4138419070344117,0.13572882307530354
67,random,0,400,246,0.615,0.57024,1.078493265993266,0.017255892255892257
67,random,1,650,394,0.6061538461538462,0.57024,1.0629802296468964,0.027637485970819303
67,random,2,900,534,0.5933333333333334,0.57024,1.0404975682753461,0.03745791245791246
67,random,3,1150,681,0.5921739130434782,0.57024,1.038464353681745,0.04776936026936027
67,random,4,1400,828,0.5914285714285714,0.57024,1.0371572871572872,0.05808080808080808
67,random,5,1650,975,0.5909090909090909,0.57024,1.0362463013978167,0.0683922558922559
